home_goals_avg,away_goals_avg,home_win_rate,away_win_rate,odds_home,odds_draw,odds_away,outcome
2.0,2.01,0.48,0.47,3.35,3.84,3.52,0
1.27,0.6,0.76,0.26,3.29,4.42,3.57,1
2.19,1.48,0.9,0.05,4.35,3.24,1.71,1
1.83,1.43,0.72,0.48,3.9,3.35,3.84,0
0.51,2.19,0.96,0.96,1.3,4.12,3.76,1
2.45,1.32,0.78,0.65,1.39,3.51,3.79,1
1.97,1.15,0.87,0.5,3.49,3.97,1.48,1
2.03,1.71,0.11,0.11,3.05,3.42,2.9,0
0.58,0.89,0.73,0.25,2.19,2.93,2.75,1
1.29,0.61,0.44,0.29,2.79,3.99,1.53,1
1.12,1.35,0.55,0.76,4.08,2.76,2.04,1
2.34,1.22,0.65,0.88,4.34,2.9,2.88,1
1.72,0.81,0.97,0.9,3.33,3.75,4.02,1
2.11,1.11,0.98,0.98,2.66,3.99,2.1,1
1.28,1.11,0.29,0.98,2.23,4.29,4.35,1
0.8,1.02,0.73,0.95,3.18,3.05,3.27,0
1.52,1.13,0.75,0.07,2.4,2.72,4.09,1
0.44,1.81,0.35,0.14,3.34,4.41,3.0,1
2.12,0.95,0.12,0.3,3.77,2.81,3.1,1
1.69,2.39,0.04,0.55,1.45,2.9,3.55,0
1.97,2.32,0.78,0.1,1.2,3.08,4.73,1
1.08,1.36,0.49,0.85,2.01,3.56,3.07,1
2.44,1.02,0.99,0.62,4.6,4.27,3.21,1
2.26,1.48,0.46,0.54,3.66,4.02,3.49,1
2.01,2.17,0.98,0.17,1.85,3.92,4.0,1
0.73,1.74,0.41,0.25,4.58,2.85,1.47,1
1.33,2.07,0.79,0.16,2.99,3.22,3.16,1
0.4,1.47,0.08,0.85,3.01,3.46,3.03,0
0.64,1.69,0.56,0.58,4.76,2.79,4.7,1
1.8,0.93,0.8,0.74,1.43,3.05,3.08,1
1.94,1.92,0.92,0.3,2.02,3.12,2.98,1
2.43,0.75,0.82,0.37,3.43,2.75,4.86,1
1.02,1.83,0.04,0.4,1.94,3.6,2.91,0
1.12,2.19,0.37,0.76,3.78,3.91,1.89,0
1.33,0.59,0.05,0.77,2.01,2.64,2.02,0
0.72,1.65,0.11,0.21,1.58,3.46,1.56,0
0.59,0.51,0.68,0.94,1.99,4.06,1.2,1
1.35,1.9,0.71,0.12,2.81,4.0,2.84,0
0.8,0.49,0.77,0.9,1.87,4.13,4.12,1
1.77,2.36,0.87,0.1,1.71,3.4,3.99,1
1.26,0.6,0.74,0.26,4.47,4.14,1.32,0
2.13,2.41,0.8,0.85,2.42,2.98,3.37,1
1.84,2.06,0.05,0.18,2.57,3.22,1.79,0
0.99,1.61,0.23,0.41,1.41,2.85,4.78,0
2.13,2.02,0.62,0.45,2.56,3.43,1.84,1
2.07,2.05,0.86,0.25,2.21,3.28,3.58,0
1.15,2.38,0.0,0.71,3.52,2.98,2.44,0
0.93,0.86,0.51,0.85,1.98,4.0,3.64,0
1.8,1.6,0.68,0.87,4.58,3.13,2.77,0
0.61,0.51,0.03,0.34,4.73,3.05,4.09,0
0.74,1.66,0.4,0.53,1.58,2.76,2.08,0
0.32,0.68,0.9,0.25,1.61,3.38,4.64,1
2.03,1.54,0.67,0.24,1.64,3.11,3.1,0
1.76,1.56,0.24,0.16,3.55,3.24,4.07,0
1.85,1.33,0.85,0.94,1.66,2.97,4.43,1
2.02,1.45,0.35,0.89,4.44,4.03,5.0,0
1.31,1.98,0.85,0.78,4.07,4.36,2.05,1
1.55,2.06,0.3,0.52,4.32,3.5,2.29,1
0.61,1.38,0.59,0.49,3.2,3.79,2.15,1
0.55,1.62,0.4,0.53,4.99,4.23,2.2,1
1.77,2.35,0.27,0.54,1.37,4.5,3.41,0
1.34,0.56,0.89,0.43,2.72,3.73,4.98,1
1.54,0.56,0.19,0.13,2.43,4.28,4.96,0
1.98,0.49,0.08,0.13,4.8,4.32,3.2,0
1.7,1.75,0.34,0.95,3.39,4.08,3.63,0
1.52,1.22,0.72,0.48,4.26,3.42,4.47,1
1.53,2.0,0.81,0.95,1.85,2.66,4.75,0
0.97,1.78,1.0,0.16,4.92,2.53,1.97,1
0.37,1.03,0.3,0.55,3.09,3.45,3.21,0
1.26,2.28,0.41,0.21,3.08,3.49,4.36,0
0.77,1.98,0.14,0.25,4.89,3.31,2.35,0
1.2,0.9,0.57,0.03,2.65,3.64,2.87,1
2.18,1.1,1.0,0.12,2.71,3.6,4.95,1
0.81,0.99,0.7,0.92,3.42,4.17,4.94,1
0.43,0.65,0.6,0.32,1.69,2.72,4.64,1
0.92,0.63,0.39,0.61,2.42,2.95,4.23,0
0.95,2.36,0.92,0.47,1.93,4.09,2.22,1
1.76,1.26,0.5,0.4,1.59,4.2,2.42,0
1.53,1.14,0.13,0.53,4.49,4.49,3.28,0
2.02,1.91,0.37,0.19,3.44,4.25,3.33,0
1.76,1.52,0.07,0.99,2.56,4.28,3.12,0
1.19,2.36,0.2,0.82,2.75,3.13,3.62,0
2.09,2.02,0.02,0.74,2.84,3.3,2.75,0
0.67,1.35,0.45,0.47,3.61,3.04,4.05,1
0.35,1.13,0.63,0.15,4.72,3.71,2.47,1
0.5,2.47,0.34,0.92,4.74,4.38,2.46,1
1.89,1.88,0.42,0.34,2.69,3.19,1.68,0
1.32,2.39,0.96,0.05,2.45,3.61,1.92,1
0.65,0.56,0.75,0.34,2.91,3.09,4.43,1
1.4,2.17,0.54,0.79,3.36,2.84,2.9,0
0.64,1.7,0.28,0.62,2.95,2.89,2.07,1
1.83,0.57,0.9,0.75,3.7,2.62,4.09,1
1.28,1.59,0.24,0.79,3.31,4.4,3.31,0
1.14,1.81,0.33,0.21,2.42,3.31,1.28,1
0.96,0.33,0.91,0.92,2.51,4.17,2.4,1
1.69,1.3,0.53,0.44,2.64,3.86,1.87,0
1.1,2.12,0.74,0.64,1.56,2.88,3.69,1
0.49,0.95,0.59,0.0,1.83,2.85,2.25,1
0.56,1.31,0.65,0.99,3.95,4.12,1.45,1
2.42,1.27,0.3,0.28,2.68,3.03,1.41,0
2.3,0.96,0.24,0.06,2.02,4.33,3.41,1
1.84,2.32,0.32,0.46,3.34,2.78,1.28,0
0.88,2.02,0.16,0.13,4.07,3.86,4.43,0
2.43,0.54,0.87,0.15,2.18,4.13,1.79,1
2.01,2.49,0.28,0.63,4.34,2.97,3.5,0
1.88,2.23,0.56,0.39,4.72,3.05,2.89,0
1.29,0.92,0.79,0.92,3.47,4.43,2.88,1
0.9,2.14,0.78,0.32,3.74,3.03,1.47,1
0.51,0.53,0.44,0.73,1.4,3.36,4.25,1
2.29,2.5,0.48,0.46,4.79,3.37,4.59,1
1.3,1.76,0.99,0.66,2.69,3.01,1.24,0
0.75,1.73,0.67,0.6,4.71,4.05,1.88,1
0.97,0.5,0.81,0.47,3.4,4.04,4.63,0
1.57,2.27,0.9,0.95,1.22,3.26,3.29,1
0.69,0.36,0.79,0.34,1.35,4.17,1.77,0
2.18,0.83,0.19,0.18,3.79,2.93,1.97,1
1.97,0.61,0.56,0.68,3.34,2.51,3.71,1
1.88,2.01,0.1,0.85,1.3,3.64,3.95,0
1.25,0.74,0.65,0.04,4.03,4.49,3.48,0
1.68,2.3,0.96,0.45,4.44,2.58,4.82,1
1.59,1.74,0.51,0.89,3.09,2.92,3.08,1
1.73,0.38,0.43,0.75,2.97,3.54,2.34,0
0.49,0.31,0.04,0.99,1.22,4.12,3.01,0
1.21,0.41,0.96,0.53,4.19,2.68,2.57,1
0.39,1.63,0.1,0.66,2.46,3.29,2.05,0
1.39,2.06,0.04,0.3,4.54,3.99,1.37,0
1.03,0.82,0.25,0.95,2.62,3.24,2.54,0
0.62,2.17,0.07,0.37,3.35,2.88,3.9,1
0.53,0.43,0.46,0.74,2.23,2.89,1.27,1
1.59,2.06,0.52,0.4,1.81,3.32,2.87,0
0.68,2.34,0.31,0.56,4.14,3.46,3.65,0
2.34,2.0,0.05,0.72,3.09,4.22,3.52,0
1.58,1.84,0.11,0.51,3.24,3.78,4.15,1
1.06,2.14,0.38,0.91,4.87,3.88,4.28,0
1.6,0.39,0.06,0.42,4.86,4.47,3.9,0
0.35,0.74,0.7,0.65,4.45,3.32,1.59,0
2.41,0.57,0.21,0.34,1.91,3.31,3.01,1
1.36,1.41,0.3,0.41,3.46,4.35,3.49,0
2.02,1.94,0.39,0.44,4.54,2.99,2.13,1
0.48,1.69,0.42,0.13,2.62,3.96,1.36,0
1.37,2.17,0.0,0.09,1.58,4.01,2.05,0
1.38,0.64,0.11,0.67,4.28,2.7,2.93,1
2.36,1.92,0.86,0.66,3.03,3.44,2.77,1
1.56,0.72,0.0,0.66,3.34,2.9,1.87,0
1.34,0.9,0.51,0.02,4.93,2.87,4.33,1
0.89,1.86,0.49,0.33,3.51,3.43,4.72,1
1.03,2.46,0.33,0.2,2.81,3.08,1.97,1
1.45,1.65,0.43,0.78,2.61,4.09,4.73,0
1.27,0.42,0.78,0.86,2.79,4.32,1.27,1
0.35,1.66,0.84,0.25,1.65,4.11,4.71,1
2.12,0.39,0.26,0.67,4.22,3.03,4.82,0
2.27,2.25,0.32,0.13,4.38,3.05,1.25,0
0.61,1.86,0.24,0.28,2.28,3.01,4.1,0
1.52,0.68,0.48,0.14,2.35,2.77,4.89,0
0.54,0.5,0.68,0.28,4.52,4.39,4.64,0
1.78,0.7,0.23,0.67,1.29,3.3,4.89,0
0.92,2.46,0.33,0.91,3.18,2.95,3.29,0
1.75,1.31,0.93,0.2,2.96,4.19,1.5,1
1.9,2.02,0.05,0.54,3.82,3.3,4.43,0
1.99,1.7,0.46,0.7,1.82,2.57,3.53,1
0.54,1.56,0.71,0.95,3.74,2.82,3.54,1
2.32,0.62,0.15,0.61,2.63,3.78,2.79,0
0.81,2.38,0.05,0.26,3.55,4.07,3.37,0
0.38,0.96,0.14,0.63,1.35,2.92,1.78,1
1.52,1.57,0.92,0.32,2.95,4.33,4.01,1
1.12,1.84,0.01,0.98,3.18,4.2,1.49,0
2.13,1.73,0.19,0.4,2.01,4.2,3.97,0
2.08,2.37,0.03,0.69,1.73,2.96,4.43,0
1.0,0.63,0.11,0.02,1.92,2.6,3.0,0
2.4,1.42,0.62,0.4,2.51,4.23,3.14,0
0.94,1.19,0.24,0.88,1.57,3.11,2.39,0
1.43,1.34,0.57,0.61,4.8,3.74,4.88,0
0.86,0.56,0.59,0.44,2.74,4.02,3.99,0
2.36,0.6,0.85,0.94,4.27,2.76,2.6,1
0.66,0.91,0.0,0.85,4.9,4.06,1.86,0
0.4,0.97,0.85,0.32,1.51,4.38,2.03,1
1.26,1.24,0.62,0.54,3.68,3.96,2.96,1
2.48,1.64,0.16,0.49,4.51,3.38,4.78,0
2.26,1.7,0.77,0.63,3.61,4.25,3.99,0
1.95,1.21,0.86,0.33,2.83,3.55,2.02,1
2.26,1.2,0.25,0.24,2.84,3.99,4.47,0
2.27,0.78,0.92,0.91,1.34,4.14,2.64,1
1.44,1.59,0.45,0.92,3.23,4.0,4.44,1
1.0,1.0,0.6,0.84,4.98,3.08,2.12,0
2.0,0.38,0.98,0.98,4.84,2.74,3.55,1
1.76,1.22,0.36,0.74,1.35,2.98,4.72,1
